date,O,R,I,demand,S,inflation_yoy_pct
1987-03-01,0.8023217650720021,0.7848791166219247,0.9441149849343339,2.84143,0.48018912669232117,2.84143
1987-04-01,0.8010836193985633,0.7558693363452762,0.7764411828079479,3.67985,0.5841723044236903,3.67985
1987-05-01,0.7999053994620244,0.7643692602721232,0.7792711345292864,3.66972,0.5829414176955079,3.66972
1987-06-01,0.7987987017426625,0.7654664692100487,0.7642951499303332,3.74771,0.5923901528804026,3.74771
1987-07-01,0.792788476925656,0.7566569945490236,0.7322007877039486,3.92694,0.6138370330748545,3.92694
1987-08-01,0.7801945995192557,0.7285005990018727,0.667411590301904,4.28832,0.6556932279372542,4.28832
1987-09-01,0.7680861410085231,0.7461524115867977,0.6791306518270773,4.27273,0.6539313023068792,4.27273
1987-10-01,0.7555126851923314,0.7575824664357955,0.6718368021203907,4.35572,0.6632609043402158,4.35572
1987-11-01,0.7428219476379231,0.7691535152835798,0.6455163084299703,4.52899,0.6823288503971741,4.52899
1987-12-01,0.7362291618907137,0.7585874462166201,0.6896059782085344,4.33213,0.6606214876943625,4.33213
1988-01-01,0.7343906071471886,0.7559159809764536,0.7316803666497375,4.12926,0.6375231546420258,4.12926
1988-02-01,0.7291540165426865,0.7936313455992317,0.7767719411609864,3.9356,0.6148629138931003,3.9356
1988-03-01,0.7267827386186845,0.8809797781106413,0.8115620258327801,3.83244,0.6025783761854718,3.83244
1988-04-01,0.729592436138225,0.9528506739131505,0.7994459705476685,3.9929,0.62162470606296,3.9929
1988-05-01,0.7335301051757871,0.9528008489662108,0.8208623645661777,3.9823,0.6203773055112326,3.9823
1988-06-01,0.738520299224382,0.9592091852268482,0.842786870403987,3.96476,0.6183097193951441,3.96476
1988-07-01,0.745652958224782,0.960686971950972,0.8301575953857687,4.13005,0.6376144291985202,4.13005
1988-08-01,0.7571878171774393,0.9970825055324773,0.8550264367196637,4.11199,0.6355253551007045,4.11199
1988-09-01,0.7680609454905521,0.9910134029531309,0.8607124658854163,4.18483,0.6439190667833699,4.18483
