t,O,R,I,Cap,demand,Sigma,Sigma_symbolic,S,V,C,intervention,delta_C,threshold_value,threshold_hit,cap_scale_used,demand_to_cap_ratio,S_is_observed,step
220,0.01,0.24487662532997,0.3069673591611989,0.7516913099784723,1.0,0.24830869002152767,0.24830869002152767,0.0,0.6036000101717728,9.464119371250778,real,-0.07243200122061211,-0.07560000000000006,0,1000.0,0.9,True,220
221,0.01,0.2452830470245917,0.3689059401924038,0.9048637307586459,1.0,0.0951362692413541,0.0951362692413541,0.0,0.8738334634456586,9.359259355637299,real,-0.10486001561347891,-0.07560000000000006,0,1000.0,0.9,True,221
222,0.01,0.2453770285916783,0.4048542684590142,0.9934193740713051,0.9985288911543012,0.005109517082996118,0.005109517082996118,0.0,0.9938279636441002,9.240000000000006,real,-0.1192593556372934,-0.07560000000000006,0,1000.0,0.9,True,222
223,0.0860766162538969,0.2494136681158999,0.4222466483378156,9.065080116102612,0.913923383746103,0.0,0.0,0.0,1.0,9.120000000000005,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,223
224,0.0668224125587965,0.250401930192753,0.4164943417384529,6.968975365202671,0.9331775874412036,0.0,0.0,0.0,1.0,9.000000000000004,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,224
225,0.0130796102460662,0.2481804506396447,0.4189886577381501,1.3600805756033556,0.9869203897539336,0.0,0.0,0.0,1.0,8.880000000000003,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,225
226,0.0212946158903487,0.2437821645403383,0.4360263609291167,2.2635207800034896,0.9787053841096512,0.0,0.0,0.0,1.0,8.760000000000002,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,226
227,0.051742496370442,0.2421580993284207,0.4481572330651819,5.615349438870657,0.948257503629558,0.0,0.0,0.0,1.0,8.64,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,227
228,0.01,0.2399839474472023,0.45525019400888,1.0925273863435572,0.994715037883894,0.0,0.0,0.0,1.0,8.52,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,228
229,0.0650027791720143,0.2397615874624045,0.4668847379959578,7.276477789718733,0.9349972208279856,0.0,0.0,0.0,1.0,8.399999999999999,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,229
230,0.1940939395939617,0.241153961718691,0.4683688062059525,21.922715055987762,0.8059060604060383,0.0,0.0,0.0,1.0,8.279999999999998,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,230
231,0.1975524350581989,0.2421910861183492,0.4512848619583023,21.59192224963933,0.802447564941801,0.0,0.0,0.0,1.0,8.159999999999997,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,231
232,0.1749836089185292,0.2428434165138113,0.4366850117364186,18.556325823387933,0.8250163910814707,0.0,0.0,0.0,1.0,8.039999999999996,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,232
233,0.2447258245288295,0.2440708960352756,0.4273413788047175,25.525293404795484,0.7552741754711705,0.0,0.0,0.0,1.0,7.919999999999995,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,233
234,0.3373749675508013,0.2419173054991945,0.4162045990827079,33.96930545782179,0.6626250324491987,0.0,0.0,0.0,1.0,7.799999999999994,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,234
235,0.3819807599850038,0.2378326413699654,0.4003645935736388,36.37211965206146,0.6180192400149962,0.0,0.0,0.0,1.0,7.679999999999993,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,235
236,0.4724960671636853,0.2281306925325775,0.3911585041536754,42.163309611448625,0.5275039328363147,0.0,0.0,0.0,1.0,7.559999999999992,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,236
237,0.4913637085005707,0.217535458923604,0.3744005840404408,40.01931519477322,0.5086362914994292,0.0,0.0,0.0,1.0,7.439999999999991,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,237
238,0.5087130888453523,0.2061988297344253,0.3520684035338248,36.93058260392055,0.4912869111546477,0.0,0.0,0.0,1.0,7.31999999999999,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,238
239,0.4981669390484078,0.1959449955385525,0.3290417384893005,32.11885606807397,0.5018330609515922,0.0,0.0,0.0,1.0,7.199999999999989,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,239
240,0.4382723513496533,0.190100516863686,0.3092078036979785,25.761895691705128,0.5617276486503466,0.0,0.0,0.0,1.0,7.079999999999988,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,240
241,0.4388352348326246,0.1840822013148837,0.288423452913125,23.299353010170318,0.5611647651673753,0.0,0.0,0.0,1.0,6.959999999999987,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,241
242,0.400988782564092,0.1802123733516383,0.2703653174693632,19.537446839683586,0.599011217435908,0.0,0.0,0.0,1.0,6.839999999999986,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,242
243,0.3709516332123892,0.1776540472740301,0.2643219525130278,17.419096583087214,0.6290483667876108,0.0,0.0,0.0,1.0,6.719999999999985,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,243
244,0.4758807271009206,0.1703639970707366,0.2563744434253627,20.785030586652816,0.5241192728990793,0.0,0.0,0.0,1.0,6.599999999999984,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,244
245,0.490550980989945,0.1622253846479501,0.244643301410905,19.468670277149954,0.509449019010055,0.0,0.0,0.0,1.0,6.479999999999983,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,245
246,0.5607394530047134,0.1498375055983479,0.2405555910847773,20.211432875254797,0.4392605469952866,0.0,0.0,0.0,1.0,6.359999999999982,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,246
247,0.6368204251415258,0.1309631236797704,0.2497691364669308,20.830744008069345,0.3631795748584742,0.0,0.0,0.0,1.0,6.239999999999981,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,247
248,0.6316988267178434,0.1132068535478847,0.2640894086769103,18.885729902748448,0.3683011732821566,0.0,0.0,0.0,1.0,6.11999999999998,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,248
